derived_word,origin_w,chapter,deck,meaning,example,viewed,status
Acquaint,suggest,1,1,Make someone aware of or familiar with.,The museum offers workshops to acquaint children with the world of radio.,0,0
Befriend,suggest,1,1,"Act as or become a friend to (someone), especially when they are in need of help or support.",He was befriended by an old lady.,0,0
Confer,suggest,1,1,"Grant (a title, degree, benefit, or right)",I need some time to confer with my lawyer.,0,0
Enlighten,suggest,1,1,Give (someone) greater knowledge and understanding about a subject or situation.,Should the function of children's television be to entertain or to enlighten?,0,0
Creed,belief,1,2,A system of religious belief; a faith.,"The law forbids discrimination because of race, color, or creed.",0,0
Dogma,belief,1,2,A principle or set of principles laid down by an authority as incontrovertibly true.,liberal / conservative dogma,0,0
Orthodoxy,belief,1,2,"Authorized or generally accepted theory, doctrine, or practice.",orthodox treatment / methods,0,0
Principle,belief,1,2,A fundamental truth or proposition that serves as the foundation for a system of belief or behaviour or for a chain of reasoning.,the principles of the criminal justice system,0,0
Tenet,belief,1,2,"A principle or belief, especially one of the main principles of a religion or philosophy.",It is a tenet of contemporary psychology that an individual's mental health is supported by having good social networks.,0,0
Theism,belief,1,2,"Belief in the existence of a god or gods, specifically of a creator who intervenes in the universe.",Those looking to discredit religion and theism generally had only to focus on what is most obvious.,0,0
Theology,belief,1,2,The study of the nature of God and religious belief.,The minister had attended the Princeton Theological Seminary.,0,0
Demeanor,belief,1,2,Outward behaviour or bearing.,"The boss has a calm, reassuring demeanor.",0,0
Mentality,belief,1,2,The characteristic way of thinking of a person or group.,I can't understand the mentality of people who hurt animals.,0,0
Morale,belief,1,2,"The confidence, enthusiasm, and discipline of a person or group at a particular time.",A couple of victories would improve the team's morale enormously.,0,0
Perspective,belief,1,2,a point of view.,Her attitude lends a fresh perspective to the subject.,0,0
Anxious,careful,1,2,"Feeling or showing worry, nervousness, or unease about something with an uncertain outcome.",My mother always gets a bit anxious if we don't arrive when we say we will.,0,0
Circumspect,careful,1,2,Wary and unwilling to take risks.,Officials were circumspect about saying what the talks had achieved.,0,0
Discreet,careful,1,2,"Careful and prudent in one's speech or actions, especially in order to keep something confidential or to avoid embarrassment.",The family made discreet enquiries about his background.,0,0
Frugal,careful,1,2,Sparing or economical as regards money or food.,a frugal lifestyle,0,0
Judicious,careful,1,2,"Having, showing, or done with good judgement or sense.",We should make judicious use of the resources available to us.,0,0
Protective,careful,1,2,Intended to protect someone or something.,protective clothing,0,0
Selective,careful,1,2,Relating to or involving the selection of the most suitable or best qualified.,"As a teacher she was very selective, accepting only a small number of exceptionally gifted pupils.",0,0
Suspicious,careful,1,2,Having or showing a cautious distrust of someone or something.,Her behaviour was very suspicious.,0,0
Precaution,careful,1,2,"A measure taken in advance to prevent something dangerous, unpleasant, or inconvenient from happening.",Many people have been stockpiling food as a precaution against shortages.,0,0
Vigilance,careful,1,2,The action or state of keeping careful watch for possible danger or difficulties.,The police said that it was thanks to the vigilance of a neighbour that the fire was discovered before it could spread.,0,0
Expedient,careful,1,2,(of an action) convenient and practical although possibly improper or immoral.,It might be expedient not to pay him until the work is finished.,0,0
Gaily,cheerful,1,2,In a cheerful or light-hearted way.,I could hear her gaily singing in her bedroom.,0,0
Readily,cheerful,1,2,Without hesitation or reluctance; willingly.,He readily agreed to help.,0,0
Convivial,cheerful,1,2,"(of an atmosphere or event) friendly, lively, and enjoyable.",a convivial atmosphere / host,0,0
Happy-go-lucky,cheerful,1,2,Cheerfully unconcerned about the future.,Your current happy-go-lucky attitude will make the impact with said wall less painful.,0,0
Jocular,cheerful,1,2,Fond of or characterized by joking; humorous or playful.,a jocular comment,0,0
Light-hearted,cheerful,1,2,Amusing and entertaining.,It was a fairly light-hearted discussion.,0,0
Playful,cheerful,1,2,Fond of games and amusement; light-hearted.,a playful exchange of insults,0,0
Pleasant,cheerful,1,2,Giving a sense of happy satisfaction or enjoyment.,a pleasant climate / smile person,0,0
Sprightly,cheerful,1,2,(especially of an old person) lively; full of energy.,He's a sprightly old man of 75.,0,0
Energetic,cheerful,1,2,Showing or involving great activity or vitality.,an energetic young woman,0,0
Hilarious,cheerful,1,2,Extremely amusing.,He didn't like the film at all - I thought it was hilarious.,0,0
nimble,cheerful,1,2,Quick and light in movement or action; agile.,nimble fingers / feet,0,0
Racy,cheerful,1,2,"Lively, entertaining, and typically sexually titillating.",a racy story,0,0
Cosmic,huge,1,3,"Relating to the universe or cosmos, especially as distinct from the earth.",cosmic dust / radiation,0,0
Enormous,huge,1,3,"Very large in size, quantity, or extent.",an enormous car / house,0,0
Gigantic,huge,1,3,Of very great size or extent; huge or enormous.,a gigantic statue,0,0
Immeasurable,huge,1,3,"Too large, extensive, or extreme to measure.",Her movies had an immeasurable effect on a generation of Americans.,0,0
Infinite,huge,1,3,"Limitless or endless in space, extent, or size; impossible to measure or calculate.",an infinite number / variety,0,0
Leviathan,huge,1,3,"a very large aquatic creature, especially a whale",The US is seen as an economic leviathan.,0,0
Massive,huge,1,3,Large and heavy or solid.,They have a massive house.,0,0
Unlimited,huge,1,3,"Not limited or restricted in terms of number, quantity, or extent.",Passes are available for one month's unlimited travel within Europe.,0,0
Extensive,huge,1,3,Covering or affecting a large area.,a school with extensive grounds,0,0
Immense,huge,1,3,"Extremely large or great, especially in scale or degree.",immense wealth / value,0,0
Unwieldy,huge,1,3,"(of an object) difficult to move because of its size, shape, or weight.",A piano is a very unwieldy item to get down a flight of stairs.,0,0
Abnormal,unusual,1,3,"Deviating from what is normal or usual, typically in a way that is undesirable or worrying.",abnormal behaviour / weather conditions,0,0
Eccentric,unusual,1,3,(of a person or their behaviour) unconventional and slightly strange.,eccentric behaviour,0,0
Alien,unusual,1,3,Belonging to a foreign country.,an alien culture,0,0
Erratic,unusual,1,3,Not even or regular in pattern or movement; unpredictable.,He drove in an erratic course down the road.,0,0
Exotic,unusual,1,3,Originating in or characteristic of a distant foreign country.,exotic flowers / food designs,0,0
Extraordinary,unusual,1,3,Very unusual or remarkable.,He told the extraordinary story of his escape.,0,0
Grotesque,unusual,1,3,Comically or repulsively ugly or distorted.,By now she'd had so much cosmetic surgery that she looked quite grotesque.,0,0
Heteromorphic,unusual,1,3,"Occurring in two or more different forms, especially at different stages in the life cycle.","In this case, the drug becomes an external and heteromorphic substance that acts upon the subject.",0,0
Incongruous,unusual,1,3,Not in harmony or keeping with the surroundings or other aspects of something.,The new computer looked incongruous in the dark book-filled library.,0,0
Ludicrous,unusual,1,3,"So foolish, unreasonable, or out of place as to be amusing.",a ludicrous idea / suggestion,0,0
Uncommon,unusual,1,3,Out of the ordinary; unusual.,Accidents due to failure of safety equipment are uncommon nowadays.,0,0
Frantic,unusual,1,3,"Distraught with fear, anxiety, or other emotion.",Where on earth have you been? We've been frantic with worry.,0,0
Inconceivable,unusual,1,3,Not capable of being imagined or grasped mentally; unbelievable.,The idea that they might not win was inconceivable to them.,0,0
Aberration,unusual,1,3,"A departure from what is normal, usual, or expected, typically an unwelcome one.","aberration, she agreed to go with him.",0,0
Eccentricity,unusual,1,3,The quality of being eccentric.,His eccentricity now extends to never washing or changing his clothes.,0,0
Idiosyncrasy,unusual,1,3,A mode of behaviour or way of thought peculiar to an individual.,She often cracks her knuckles when she's speaking - it's one of her little idiosyncrasies.,0,0
Modernity,unusual,1,3,The quality or condition of being modern.,There is a stark contrast between tradition and modernity.,0,0
Paradox,unusual,1,3,A seemingly absurd or contradictory statement or proposition which when investigated may prove to be well founded or true.,It's a curious paradox that drinking a lot of water can often make you feel thirsty.,0,0
Alien,unusual,1,3,Belonging to a foreign country.,An Englishman is an alien in America.,0,0
Characteristic,unusual,1,3,"Typical of a particular person, place, or thing.",Unfortunately a big nose is a family characteristic.,0,0
Intrinsic,unusual,1,3,Belonging naturally; essential.,works of little intrinsic value / interest,0,0
Inexplicable,unusual,1,3,Unable to be explained or accounted for.,"For some inexplicable reason, he's decided to cancel the project.",0,0
Infrequent,unusual,1,3,Not occurring often; rare.,"His letters became infrequent, then stopped completely.",0,0
Whimsical,unusual,1,3,"Playfully quaint or fanciful, especially in an appealing and amusing way.",a whimsical tale,0,0
Causal,unusual,1,3,Relating to or acting as a cause.,Is there a causal relationship between violence on television and violent behaviour ?,0,0
Comprehensive,extensive,2,1,Including or dealing with all or nearly all elements or aspects of something.,We offer you a comprehensive training in all aspects of the business.,0,0
Copious,extensive,2,1,Abundant in supply or quantity.,They drank copious amounts of wine.,0,0
Exhaustive,extensive,2,1,Including or considering all elements or aspects; fully comprehensive.,an exhaustive study / report,0,0
Indiscriminate,extensive,2,1,Done at random or without careful judgement.,an indiscriminate terrorist attack on civilians,0,0
Prevalent,extensive,2,1,Widespread in a particular area or at a particular time.,These diseases are more prevalent among young children.,0,0
aural,distinct,2,1,Relating to the ear or the sense of hearing.,"aural teaching aids, such as CDs",0,0
Conspicuous,distinct,2,1,Clearly visible.,"In China, her blonde hair was conspicuous.",0,0
Diverse,distinct,2,1,Showing a great deal of variety; very different.,Students from countries as diverse as Colombia and Lithuania use Cambridge textbooks.,0,0
Legible,distinct,2,1,(of handwriting or print) clear enough to read.,Her handwriting is barely legible.,0,0
Noticeable,distinct,2,1,Easily seen or noticed; clear or apparent.,There has been a noticeable improvement in Tim's cooking.,0,0
Palpable,distinct,2,1,(of a feeling or atmosphere) so intense as to seem almost tangible.,a palpable effect,0,0
Perceptible,distinct,2,1,(especially of a slight movement or change of state) able to be seen or noticed.,There was a barely perceptible movement in his right arm.,0,0
Audible,distinct,2,1,Able to be heard.,The lecturer spoke so quietly that he was scarcely audible at the back of the hall.,0,0
Transparent,distinct,2,1,(of a material or article) allowing light to pass through so that objects behind can be distinctly seen.,"Grow the bulbs in a transparent plastic box, so the children can see the roots growing.",0,0
Ardent,passion,2,1,Very enthusiastic or passionate.,an ardent supporter of Manchester United,0,0
Devout,passion,2,1,Having or showing deep religious feeling or commitment.,a devout Buddhist / Christian churchgoer,0,0
Earnest,passion,2,1,Resulting from or showing sincere and intense conviction.,He was a very earnest young man.,0,0
Expressive,passion,2,1,Effectively conveying thought or feeling.,an expressive face,0,0
Exuberant,passion,2,1,"Full of energy, excitement, and cheerfulness.","Young and exuberant, he symbolizes Italy's new vitality.",0,0
Fervent,passion,2,1,Having or displaying a passionate intensity.,a fervent supporter of the communist party,0,0
Genitive,passion,2,1,"used primarily to express possession, measure, or origin.",the genitive form of a noun,0,0
Impulsive,passion,2,1,Acting or done without forethought.,Don't be so impulsive - think before you act.,0,0
Irascible,passion,2,1,Having or showing a tendency to be easily angered.,She's becoming more and more irascible as she grows older.,0,0
Poignant,passion,2,1,Evoking a keen sense of sadness or regret.,The photograph awakens poignant memories of happier days.,0,0
Venereal,passion,2,1,Relating to sexual desire or sexual intercourse.,a venereal infection,0,0
Ardor,passion,2,1,Great enthusiasm or passion.,"She fires off the facts, yet lets her ardor for her cause come through.",0,0
Aspiration,passion,2,1,A hope or ambition of achieving something.,I've never had any political aspirations.,0,0
Craving,passion,2,1,A powerful desire for something.,I have a craving for chocolate.,0,0
Fervor,passion,2,1,Intense and passionate feeling.,The country was swept by patriotic fervor.,0,0
Impulsion,passion,2,1,A strong urge to do something.,I would like to believe that we are all driven by some spiritual impulsion of which we are perhaps not even aware.,0,0
Ire,passion,2,1,Anger.,Petty restrictions easily the ire of such a creative artist.,0,0
Mania,passion,2,1,"Mental illness marked by periods of great excitement or euphoria, delusions, and overactivity.",So why your sudden mania for exercise ?,0,0
Monomania,passion,2,1,Exaggerated or obsessive enthusiasm for or preoccupation with one thing.,It's the familiar story of the destructive monomania of the professional activist.,0,0
Pathos,passion,2,1,A quality that evokes pity or sadness.,There's a pathos in his performance which he never lets slide into sentimentality.,0,0
Poignancy,passion,2,1,The quality of evoking a keen sense of sadness or regret; pathos.,The production took on added poignancy due to the director's recent death.,0,0
Sensation,passion,2,1,A physical feeling or perception resulting from something that happens to or comes into contact with the body.,a burning sensation,0,0
Altruist,patron,2,2,a person unselfishly concerned for or devoted to the welfare of others,She's not known for her altruism.,0,0
Benefactor,patron,2,2,A person who gives money or other help to a person or cause.,"They hope to find a benefactor, and turn the factory into a museum.",0,0
Contributor,patron,2,2,A person or thing that contributes something.,"On the last page of the programme, there is a list of contributors to the theatre appeal.",0,0
Donor,patron,2,2,"A person who donates something, especially money to charity.",a blood donor,0,0
Giver,patron,2,2,A person who gives something.,I thanked the giver of every gift in person.,0,0
Grantor,patron,2,2,A person or institution that makes a grant or conveyance.,"As grantor, central government requires information from local that funds are being used well.",0,0
Philanthropist,patron,2,2,"A person who seeks to promote the welfare of others, especially by the generous donation of money to good causes.",a donation from a wealthy 19th-century philanthropist,0,0
Protector,patron,2,2,A person or thing that protects someone or something.,Philip II considered himself the protector of the Catholic Church.,0,0
Gregarious,friendly,2,2,(of a person) fond of company; sociable.,"Emma's a gregarious, outgoing sort of person.",0,0
Lovable,friendly,2,2,Inspiring or deserving love or affection.,a lovable child,0,0
Indulgent,friendly,2,2,Having or indicating a readiness or over-readiness to be generous to or lenient with someone.,indulgent relatives,0,0
Magnanimous,friendly,2,2,"Generous or forgiving, especially towards a rival or less powerful person.","The team's manager was magnanimous in victory, and praised the losing team.",0,0
Congenial,friendly,2,2,(of a person) pleasing or liked on account of having qualities or interests that are similar to one's own.,congenial company / surroundings,0,0
Harmonious,friendly,2,2,Tuneful; not discordant.,harmonious relations between the country's ethnic groups,0,0
Humane,friendly,2,2,Having or showing compassion or benevolence.,The humane way of dealing with a suffering animal is to kill it quickly.,0,0
Sociable,friendly,2,2,Willing to talk and engage in activities with other people; friendly.,Rob's very sociable - he likes parties.,0,0
Fraternal,friendly,2,2,Of or like a brother or brothers.,fraternal rivalry,0,0
Hospitable,friendly,2,2,Friendly and welcoming to visitors or guests.,The villagers were very hospitable to/towards anyone who passed through.,0,0
Affable,friendly,2,2,"Friendly, good-natured, or easy to talk to.",He struck me as an affable sort of a man.,0,0
Amicable,friendly,2,2,Characterized by friendliness and absence of discord.,"His manner was perfectly amicable, but I felt uncomfortable.",0,0
Decorous,friendly,2,2,In keeping with good taste and propriety; polite and restrained.,"His manner, as ever, was decorous.",0,0
Diplomatic,friendly,2,2,Of or concerning diplomacy.,diplomatic negotiations,0,0
Genteel,friendly,2,2,"Characterized by exaggerated or affected politeness, refinement, or respectability.",The mansion had an atmosphere of genteel elegance and decay.,0,0
Reverent,friendly,2,2,Feeling or showing deep and solemn respect.,A reverent silence fell over the crowd.,0,0
Suave,friendly,2,2,"(especially of a man) charming, confident, and elegant.",He's very suave and sophisticated.,0,0
Benign,friendly,2,2,Gentle and kind.,a benign old lady,0,0
Docile,friendly,2,2,Ready to accept control or instruction; submissive.,The once docile population has finally risen up against the ruthless regime.,0,0
Placid,friendly,2,2,Not easily upset or excited.,a slow-moving and placid river,0,0
merciful,friendly,2,2,Showing or exercising mercy.,""" God is merciful,"" said the priest.",0,0
Inoffensive,friendly,2,2,Not objectionable or harmful.,an inoffensive article,0,0
Adherence,loyalty,2,2,"Attachment or commitment to a person, cause, or belief.",He was noted for his strict adherence to the rules.,0,0
Fealty,loyalty,2,2,A feudal tenant's or vassal's sworn loyalty to a lord.,an oath of fealty,0,0
Fidelity,loyalty,2,2,"Faithfulness to a person, cause, or belief, demonstrated by continuing loyalty and support.","Somerset Maugham's comedy of marital fidelity, ""The Constant Wife""",0,0
Homage,loyalty,2,2,Special honour or respect shown publicly.,On this occasion we pay homage to him for his achievements.,0,0
Patriotism,loyalty,2,2,The quality of being patriotic; devotion to and vigorous support for one's country.,True patriotism is more than saluting the flag and obeying the current administration.,0,0
Corruption,cheat,2,3,"Dishonest or fraudulent conduct by those in power, typically involving bribery.",The film is about a young police officer and his struggle to expose corruption in the force.,0,0
Extortion,cheat,2,3,"The practice of obtaining something, especially money, through force or threats.",He had been extorting money from the old lady for years.,0,0
Intrigue,cheat,2,3,Arouse the curiosity or interest of; fascinate.,"Throughout history, people have been intrigued by the question of whether there is intelligent life elsewhere in the universe.",0,0
Clandestine,cheat,2,3,"Kept secret or done secretively, especially because illicit.",The group held weekly clandestine meetings in a church.,0,0
Counterfeit,cheat,2,3,Made in exact imitation of something valuable with the intention to deceive or defraud.,counterfeit jewellery / passports coins,0,0
Deceitful,cheat,2,3,Guilty of or involving deceit; deceiving or misleading others.,"The story is about theft, fraud, and deceit on an incredible scale.",0,0
Cajole,cheat,2,3,Persuade (someone) to do something by sustained coaxing or flattery.,He really knows how to cajole people into doing what he wants.,0,0
Defraud,cheat,2,3,Illegally obtain money from (someone) by deception.,He was found guilty of defrauding the Internal Revenue Service.,0,0
Evade,cheat,2,3,"Escape or avoid (someone or something), especially by guile or trickery.",The police have assured the public that the escaped prisoners will not evade recapture for long.,0,0
Fraudulent,cheat,2,3,"Obtained, done by, or involving deception, especially criminal deception.",A worrying trend for insurers has been a rise in fraudulent claims.,0,0
Underhand,cheat,2,3,acting or done in a secret or dishonest way,"Shareholders sued the company, alleging an underhanded attempt to deprive them of their rights.",0,0
Subterfuge,cheat,2,3,Deceit used in order to achieve one's goal.,It was clear that they must have obtained the information by subterfuge.,0,0
Innocuous,banal,2,3,Not harmful or offensive.,Some mushrooms look innocuous but are in fact poisonous.,0,0
Insipid,banal,2,3,Lacking flavour; weak or tasteless.,a pale insipid wine,0,0
Mundane,banal,2,3,Lacking interest or excitement; dull.,Mundane matters such as paying bills and shopping for food do not interest her.,0,0
Pedestrian,banal,2,3,A person walking rather than travelling in a vehicle.,A few pedestrians sheltered from the rain in doorways.,0,0
Prosaic,banal,2,3,Having or using the style or diction of prose as opposed to poetry; lacking imaginativeness or originality.,If only she'd been called Camilla or Flavia instead of the prosaic Jane.,0,0
Antagonism,disagreement,2,3,Active hostility or opposition.,There's a history of antagonism between the two teams.,0,0
Contradiction,disagreement,2,3,"A combination of statements, ideas, or features which are opposed to one another.",You say that you're good friends and yet you don't trust him. Isn't that a contradiction?,0,0
Dissension,disagreement,2,3,Disagreement that leads to discord.,There are signs of dissension within the ruling political party.,0,0
Skirmish,disagreement,2,3,"An episode of irregular or unpremeditated fighting, especially between small or outlying parts of armies or fleets.",There was a short skirmish between the two of them over who would pay for the meal.,0,0
Squabble,disagreement,2,3,A noisy quarrel about something trivial.,Polly and Susie were having a squabble about who was going to hold the dog's lead.,0,0
Wrangle,disagreement,2,3,"A dispute or argument, typically one that is long and complicated.",a lengthy wrangle about/over costs,0,0
Aversion,disagreement,2,3,A strong dislike or disinclination.,I felt an instant aversion to his parents.,0,0
Prejudice,disagreement,2,3,Preconceived opinion that is not based on reason or actual experience.,Laws against racial prejudice must be strictly enforced.,0,0
Rancor,disagreement,2,3,"Bitterness or resentfulness, especially when long standing.",Can we settle this disagreement without rancor?,0,0
Adverse,disagreement,2,3,Preventing success or development; harmful; unfavourable.,The match has been cancelled because of adverse.,0,0
Contradictory,disagreement,2,3,Mutually opposed or inconsistent.,I keep getting contradictory advice - some people tell me to it warm and some me to put ice on it.,0,0
Dissent,disagreement,2,3,The holding or expression of opinions at variance with those commonly or officially held.,"When the time came to approve the proposal, there were one or two dissent.",0,0
Outcry,disagreement,2,3,An exclamation or shout.,The release from prison of two of the terrorists has provoked a public outcry.,0,0
Query,disagreement,2,3,"A question, especially one expressing doubt or requesting information.","If you have any queries about your treatment, the doctor will answer them.",0,0
Reluctance,disagreement,2,3,Unwillingness or disinclination to do something.,I accepted his resignation with great reluctance.,0,0
Decency,virtue,3,1,Behaviour that conforms to accepted standards of morality or respectability.,a sense of decency,0,0
Differentia,virtue,3,1,A distinguishing mark or characteristic.,"If one of them only has this differentia, then this one is composite and is not the first cause.",0,0
Efficacy,virtue,3,1,The ability to produce a desired or intended result.,They recently ran a series of tests to measure the efficacy of the drug.,0,0
Excellence,virtue,3,1,The quality of being outstanding or extremely good.,The school is noted for its academic excellence.,0,0
Excellency,virtue,3,1,"A title or form of address given to certain high officials of state, especially ambassadors, or of the Roman Catholic Church.",His Excellency will be pleased to see you now.,0,0
Integrity,virtue,3,1,The quality of being honest and having strong moral principles.,No one doubted that the president was a man of the highest integrity.,0,0
Morality,virtue,3,1,Principles concerning the distinction between right and wrong or good and bad behaviour.,They argued for a new morality based on self-sacrifice and honesty.,0,0
Prudery,virtue,3,1,The state of being asily shocked by matters relating to sex or nudity,the prudishness of Victorian Britain,0,0
Trait,virtue,3,1,"A distinguishing quality or characteristic, typically one belonging to a person.",His sense of humour is one of his better traits.,0,0
Probity,virtue,3,1,The quality of having strong moral principles; honesty and decency.,Her probity and integrity are beyond question.,0,0
Propriety,virtue,3,1,Conformity to conventionally accepted standards of behaviour or morals.,The director insisted that there was no question as to the propriety of how the funds were raised.,0,0
Righteousness,virtue,3,1,The quality of being morally right or justifiable.,He was regarded as a righteous and holy man.,0,0
Veracity,virtue,3,1,Conformity to facts; accuracy.,Doubts were cast on the veracity of her alibi.,0,0
Rectitude,virtue,3,1,Morally correct behaviour or thinking; righteousness.,"An austere man of unquestioned moral rectitude, Nava inspired deep devotion in those who worked for him.",0,0
Criterion,virtue,3,1,A principle or standard by which something may be judged or decided.,The Health Service should not be judged by financial criteria alone.,0,0
Dialogue,discourse,3,1,"A conversation between two or more people as a feature of a book, play, or film.",The play contained some very snappy / witty dialogue.,0,0
Harangue,discourse,3,1,A lengthy and aggressive speech.,A drunk in the station was haranguing passers-by.,0,0
Monologue,discourse,3,1,"A long speech by one actor in a play or film, or as part of a theatrical or broadcast programme.",He subjected me to a monologue on his last stay in hospital.,0,0
Soliloquy,discourse,3,1,"An act of speaking one's thoughts aloud when by oneself or regardless of any hearers, especially by a character in a play.","Hamlet's soliloquy starts ""To be or not to be"".",0,0
Treatise,discourse,3,1,A written work dealing formally and systematically with a subject.,a six-volume treatise on trademark law,0,0
Dormant,passive,3,1,(of an animal) having normal physical functions suspended or slowed down for a period of time; in or as if in a deep sleep.,The long-dormant volcano has recently shown signs of erupting.,0,0
Inert,passive,3,1,Lacking the ability or strength to move.,The inert figure of a man could be seen lying in the front of the car.,0,0
Lackadaisical,passive,3,1,Lacking enthusiasm and determination; carelessly lazy.,The food was nice enough but the service somewhat lackadaisical.,0,0
Powerless,passive,3,1,"Without ability, influence, or power.",The villagers are powerless against the armed invaders.,0,0
Static,passive,3,1,"Lacking in movement, action, or change, especially in an undesirable or uninteresting way.",Oil prices have remained static for the last few months.,0,0
Difference,change,3,1,A point or way in which people or things are dissimilar.,What's the difference between an ape and a monkey ?,0,0
Evolution,change,3,1,The process by which different kinds of living organism are believed to have developed.,Darwin's theory of evolution,0,0
Flection,change,3,1,"The action of bending or the condition of being bent, especially the bending of a limb or joint.","It exhibits, also, something of that new growth which was to compensate for the loss of flection.",0,0
Variation,change,3,1,"A change or slight difference in condition, amount, or level, typically within certain limits.",Unemployment rates among white-collar workers show much less regional variation than corresponding blue-collar.,0,0
Alteration,change,3,1,The action or process of altering or being altered.,We've had to alter some of our plans.,0,0
Fluctuation,change,3,1,An irregular rising and falling in number or amount; a variation.,Vegetable prices fluctuate the season.,0,0
Mutation,change,3,1,The action or process of mutating.,It is well known that radiation can cause mutation.,0,0
Distort,change,3,1,Pull or twist out of shape.,The map distorted Greenland to appear four times its actual size.,0,0
Divert,change,3,1,Cause (someone or something) to change course or turn from one direction to another.,Traffic will be diverted through the side streets while the main road is resurfaced.,0,0
Juggle,change,3,1,Continuously toss into the air and catch (a number of objects) so as to keep at least one in the air while handling the others.,We all watched in amazement as he juggled with three flaming torches.,0,0
Readjust,change,3,1,Set or adjust (something) again.,"After living abroad for so long, he found it difficult to readjust to life at home.",0,0
Embolden,inspire,3,2,Give (someone) the courage or confidence to do something.,"Emboldened by drink, he walked over to speak to her.",0,0
Enthuse,inspire,3,2,"Express eager enjoyment, interest, or approval regarding something.",He was enthusing over a wonderful restaurant he'd been to.,0,0
Infuse,inspire,3,2,Fill; pervade.,The pulling down of the Berlin Wall infused the world with optimism.,0,0
Instill,inspire,3,2,Gradually but firmly establish (an idea or attitude) in a person's mind.,My parents instilled in me a love of reading.,0,0
Reassure,inspire,3,2,Say or do something to remove the doubts or fears of (someone),"I was nervous on my first day at college, but I was reassured to see some friendly faces.",0,0
