word,meaning
overweening,presumptuously; arrogant; overbearing
preen,tidy/show self-satisfaction
provident,frugal; looking to the future
extricable,that can be freed
mendicant,a beggar
saturnine,gloomy; dark; sullen; morose
supplicate,make a humble petition to
excoriation,severe criticism
blandness,polite manner; comforting; uninteresting
contemn,to scorn or despise
dereliction,deserting and leaving to fall into ruins
entreat,ask earnestly
molt,lose hair/feathers before new growing
manacle,chains for the hands or feet
stigmatize,describe somebody scornfully
vacuity,idleness
cravat,piece of linen worn as a necktie
aleck,one who considers himself smarter than others
subsume,include under a rule
rubicund,red and healthy
interdict,prohibit forbid
severance,severing
ineluctable,certain; inevitable
insouciant,unconcerned; carefree
cabal,a scheme or plot a group of plotters
mulct,"to deprive (someone) of something, as by fraud, extortion, etc."
propitiatory,conciliatory; appeasing; mitigating
dulcet,melodious; harmonious
odium,intense hatred or dislike
propinquity,nearness in time or place affinity of nature
turgid,excessively ornate swollen or bloated
eclat,"Great brilliance, as of performance or achievement"
countervail,counterbalance
stentorian,extremely loud and powerful
churl,bad-tempered person
nary,not any; no;
pinchbeck,An alloy of zinc and copper used as imitation gold; A cheap imitation
truculence,aggressiveness ferocity
inveigh,to attack verbally; denounce; deprecate
diffidence,shyness
pucker,wrinkle
astringent,substance that shrinks
detumescence,diminishing or lessening of swelling
flak,criticism; anti-aircraft guns
distrait,distracted
refractory,stubborn; unmanageable; intractable
ramify,to be divided or subdivided to branch out
obloquy,abusively; detractive language; sharp criticism; vituperation
quail,lose courage turn frightened
rabble,mob crowd the lower classes of populace
bereft,rob or dispossess of something (material)
fetter,to shackle put in chains
ensign,flag/badge
teetotal,oppose to alcohol
simper,(give a) silly/self-conscious smile
hirsute,hairy; shaggy
endemic,epidemic
sophistry,fallacious; reasoning faulty logic
unencumbered,easy-going trifle
miseenscene,the stage setting or scenery of a play
peregrination,traveling about wandering
forbear,refrain from; be patient; ancestor
fledged,able to fly trained experienced
aspersion,slander
brummagem,Cheap and showy
desuetude,cessation of use disuse
suppliant,asking humbly beseeching
redoubtable,formidable causing fear
virago,a loud domineering woman a scold or nag
orison,prayer
reprobate,person hardened in sin; one devoid of decency
hermetic,sealed by fusion
imperviousness,not permitting penetration or passage; impenetrable
trencherman,person who eats a lot
sententious,short and pithy full of maxims/proverbs
splenetic,bad-tempered;irritable
ferret,discover by searching search
petrified,taken away power (to think feel act)
imprecation,an invocation of evil a curse
fulsome,disgusting offensive due to excessiveness
acarpous,effete no longer fertile; worn out
pileous,Covered with hair
effete,infertile; worn out; weak
edacious,voracious; devouring
fulmination,bitter protest
nibble,show some inclination to accept (an offer)
detraction,slandering verbal attack aspersion
repast,meal
palaver,To flatter; to cajole
fustian,bombastic
prolix,tiring because too long
bilge,bulge; the protuberance of a cask
involute,complex
abraid,to awaken or rouse
wag,merry person
coruscate,sparkle
lucubrate,write in scholarly fashion
recreancy,cowardice a cowardly giving up
arrant,in the highest degree
lam,a hasty escape; flight.
pulchritudinous,physically beautiful; comely.
eupeptic,good digestion
brobdingnagian,gigantic
Enfranchise,give voting rights
Hamper,hinder; obstruct
Remuneration,payment for work done
Talisman,lucky charm
Renown,fame
Tangent,going off the main subject
Abasement,humiliation; degradation
Tangible,can be touched
Enshroud,cover
Haughtiness,arrogance; pride
Abstemious,self denying; refraining from indulging
Enunciation,clear pronunciation; accent; articulation
Envenom,to cause bitterness and bad feeling
Hedonism,self indulgence; pleasure-seeking
Oblique,indirect; slanting
Plumage,feathers of a bird
Hedonist,a pleasure seeker
Lamentation,expression of regret or sorrow
Bombast,"arrogant, pompous language"
Epicure,someone who appreciates good food and drink
Cynical,believing that people act only out of selfish motives
Lance,spear; spike; javelin
Acrophobia,fear of heights
Debility,weakness; incapacity
Epistolary,concerned with letters; through correspondence
Obscured,hidden; covered; buried
Hidebound,rigid in opinions
Restorative,a tonic
Decathlon,an athletic competition with ten events
Retention,preservation; withholding
Timorous,cowardly; fearful
Brevity,being brief
Largess,generosity
Pontificate,speak pompously or dogmatically
Bristle,to show irritation
Decoy,lure; trap; trick
Histrionic,theatrical; exaggerated
Titter,giggle quietly
Defoliate,cause leaves to fall off
Etymology,the study of word origins
Posterity,future generations
Hypochondriac,a person obsessed with health; having imaginary illnesses
Legion,in large numbers
Posthumous,after death
Alacrity,eagerness; enthusiasm; quickness
Deleterious,harmful
Tractable,obedient; dutiful; polite
Euphony,pleasant sounds
Olfactory,concerned with the sense of smell
Potable,suitable for drinking
Buttress,strengthen; support
Delineation,demarcation; explanation; definition; outlining
Byline,the line that tells you who wrote an article
Liniment,soothing lotion
Omnipotent,all-powerful
Ignominy,shame [ignominious (a) = shameful]
Omniscient,all-knowing
Pragmatist,practical person; one who is concerned with usefulness
Saccharin,falsely sweet
Exceptionable,very bad (something which we should object to)
Execrable,"very, very bad"
Immoderate,excessive; extreme
Sage,a wise person
Exegesis,scholarly explanation or interpretation
Sallow,yellowish
Salubrious,health-giving
Truant,shirker; someone absent without permission
Ambulatory,able to walk around (used of hospital patients)
Capacious,spacious
Impious,wicked; profane
Orthodox,conventional
Amelioration,improvement
Carping,constant criticism
Lummox,clumsy person
Sanguinary,bloodthirsty; bloody
Amity,friendship
Destitution,hardship; poverty; misery
Lynch,assassinate; kill; illegal hanging
Catharsis,purging of pent-up emotions
Analgesic,medicine to combat pain
Exposition,clear explanation
Unctuous,oily; using excessive flattery
Palisade,fence made of posts
Celerity,speed
Dexterous,skilful with hands
Maladroit,clumsy; unskillful
Censorious,disapproving; critical
Unfetter,set free
Annex (n),a building which is an addition to an existing building
Didactic,intended to teach; instructive
Extrinsic,irrelevant; on the outside
Malediction,a curse
Scuttle,sink
Unfrock,to remove a priest from his position
Annex (v),take possession of; seize; capture
Fallacious,FALSE
Malefactor,a wrong-doer
Seminary,an institution in which priests are trained
Certitude,certainty
Malingerer,person who deliberately tries to avoid work
Sentinel,guard; sentry
Antediluvian,outdated; prehistoric; very old-fashioned
Parasite,1. scrounger; 2. animal which takes digested food from another
Uproarious,hilarious; hysterical; very funny
Anthology,a book which is a collection of poems or stories
Manipulatable,influencable; controllable
Anthropocentrism,putting man at the center of one's philosophy
Chimerical,changeable; unstable
Serrated,jagged; saw-like
Choleric,easily angered
Diorama,model of a scene
Inebriation,drunkenness; intoxication
Marsupial,pouched mammal (like a kangaroo)
Disapprobation,disapproval
Martinet,person who believes in strict discipline
Circumlocution,using too many words; long-windedness
Masochist,person who intentionally inflicts pain on himself
Parry,ward off; avoid
Matriarchy,society governed by women
Vacuous,empty; silly; meaningless
Discordancy,cacophony; harshness; jarring
Maverick,a loner
Parsimony,stinginess; frugality; cost-cutting
Arable,can be cultivated
Inexpedient,not advisable
Clairvoyant,psychic; mystic
Prosody,study of versification
Variegated,multicolored; speckled
Discursiveness,long windedness; indirectness
Prostration,1. lying face down; 2. be overcome with extreme weakness
Somnambulist,sleepwalker
Menagerie,collection of animals
Soothsayer,fortuneteller
Archetype,classic example of
Archives,collections of old records; place of storage of old documents
Ingrate,ungrateful person
Fly-by-night,unreliable; disreputable
Forensic,concerned with argument or debate (esp. for legal evidence)
Venial,minor; unimportant
Metaphorically,symbolically; figuratively
Pejorative,derogatory
Verbosity,using too many words
Insentient,unfeeling
Vertigo,dizziness
Collage,picture made from fragments of other pictures
Collate,arrange in order
Dotard,foolish old man
Furrow,groove
Misnomer,wrong name
Vilification,blackening someone's name
Insurgent,a rebel
Perdition,damnation
Stevedore,dockworker
Perfidy,treachery
Concatenate,link together
Quarry,1. something that is hunted; 2. mine for stone
Concatenation,linking into chains
Querulous,always complaining
Conciliate,to bring together; end a dispute
Vivify,enliven
Invidious,arousing envy
Ramble,wander aimlessly
Condescend,talk down to
Persnickety,fastidious; fussy
Bane,troublesome influence
Bard,poet
Condoning,overlooking; disregarding; ignoring
Munificent,generous; charitable
Perpetuity,eternity
Stupefying,astonishing; shocking; stunning into silence
Mutinous,very rebellious
Gibbering,making meaningless noises
Perspicacious,insightful; sharp; wise
Irreproachable,cannot be criticized; perfect
Grate (v),1. to annoy; aggravate; vex; 2. shred
Wax,to increase; to grow
Gratis,free of charge; without payment
Receptacle,container; vessel; holder
Neologism,newly coined word
Whelp,young dog
Jaundiced,cynical; pessimistic
Nettle,annoy
Red tape,formalities; paperwork; official procedure
Phlegmatic,calm; imperturbable
Benignity,compassion; gentleness; fondness
Gullibility,unwariness; trustfulness; being easily fooled
Jollity,gaiety; happiness
Suspect,doubtful
Sybarite,lover of luxury
Beret,type of cap
Bestial,behaving like a beast; brutal
Juxtapose,place next to
Placebo,harmless medicine with no effect; dummy medicine
Zenith,summit
Abjure,renounce; swear to refrain from something
Boor,ill-mannered person [boorish (a)]
Imperturbability,quality of being calm and not easily disturbed [imperturbable (a)]
Recondite,obscure
Caret,punctuation mark signifying omission
Ellipsis,omission of essential words
Extirpation,wiping out; complete destruction [extirpate (v)]
Hortatory,encouraging; exhorting
Recumbent,reclining; lying down
Discernment,judgment; perceptiveness
Inveigle,coax; cajole; wheedle; entice
Runic,mysterious; magical
Churlishness,rudeness; ill-mannered behavior
Anodized,electroplated; coated with thin layer of metal
Aphoristic,expressed tersely [aphorism (n) = short statement; maxim]
Canonical,orthodox [canon (n) = set of accepted works]
Iniquitous,evil; unjust [iniquity (n)]
Natty,neat; dapper; smart
Sidereal,of or related to stars
Avaricious,greedy for money
List (v),1. to lean to one side; 2. to write in order
Dispatch,1. send (v); 2. speed; celerity (n)
Epistemology,theory of knowledge
Supine,lying flat on one�s back
Bent (n),inclination; aptitude
Extemporize,speak without preparation or rehearsal [extemporaneous (a)]
Centrifuge,device to separate substances by spinning them at high speed
Intemperate,excessive; immoderate [intemperance (n)]
Pedagogy,science of education; teaching
Artless,without effort; without trickery; simple
Comeliness,beauty; prettiness [comely (a)]
Doff,take off (esp. of a hat)
Verbiage,excessive or meaningless wordiness
Daguerreotype,forerunner of the photograph
Nascent,emerging; newly formed
Reproof,scolding; criticism [reprove (v)]
Tutelary,serving as a guardian [tutelage (n)]
Abscission,cutting; process causing leaves to fall off
Veracious,true [veracity (n)]
Blowhard,boastful person
Evanescent,short-lived [evanescence (n)]
Labile,changing rapidly; unstable
Posture (v),to put on an act
Proximate,immediate; nearest
Heterodox,unorthodox
Limerick,short amusing poem
Pluck (n),courage
Sedulous,persevering; eager and thorough
Syllogism,type of logical reasoning
Caprices,whimsies; fancies
Intractability,stubbornness; resistance [intractable (a)]
Minion,underling; servant
Gainsay,contradict
Prolixity,wordiness [prolix (a)]
Vulpine,"like a fox [compare with bovine (cow-like); porcine (pig-like), etc.]"
Exact (v),to demand; extort
Apostrophe,1. punctuation mark; 2. appeal to someone not present (a figure of speech)
Emollient,softening (a); something which softens (n)
Inerrancy,infallibility; inability to make mistakes [inerrant (a)]
Palpate,medical term meaning to examine with the hands
Phenomenology,branch of science concerned with things as they are perceived; not directly derived from theory
Dross,something worthless; impurities left after refining
Expiate,atone; make amends for
Dilettantism,dabbling esp. in the arts [dilettante (n) = person who dabbles]
Lacuna,gap; missing part [plural = lacunae]
Seemly,appropriate (of behavior); decorous
Commingle,mix
Sap,1. liquid inside plants (n); 2. to drain; to undermine (v); 3. a fool (n)
Facetious,not intended to be taken seriously
Indecorous,unseemly; inappropriate (of behavior)
Scotch (v),to prevent; stop; disable
Toy (v),to play with
Usury,lending money at high interest rates
Wag (n),a witty person
Atavism,reappearance of ancestral traits; regression [atavistic (a)]
Gambit,opening move; transaction
Mitigation,making less severe [mitigate (v)]
Muse,"1. think; meditate (v); 2. a source of inspiration (n) [in mythology, a goddess who gives inspiration]"
Inefficacious,ineffective
Adumbrate,outline; indicate
Deign,condescend
Score (n),written form of music
Gavel,judge�s hammer
Steep (v),to soak in water
Fledge,1. grow feathers; 2. leave nest [fledgling (n) = an inexperienced person or a baby bird]
Picayune,insignificant; of little value
Supplicant,person who requests or begs for something [supplicate (v)]
Transcendental,supernatural; going beyond normal experience [transcendent (a)]
Condescension,talking down to someone [condescending (a)]
Epaulet,shoulder decoration
Aver,affirm
Expatiate,speak or write at great length
Flag (v),1. to lose energy; 2. to signal
Malign,slander
Secure (v),1. to fix firmly; 2. to obtain
Jockeying,maneuvering; struggling to get ahead of others [jockey (v)]
Rue,regret [rueful (a)]
Fallow,uncultivated
Forbearing,tolerant [forbear (v); forbearance (n)]
Improbity,lack of honesty or integrity
Assay,1. try; 2. assess purity
Fulminate,1. attack loudly in words; denounce thunderously; 2. explode noisily
Congruent,matching [congruency (n)]
Dally,waste time; flirt
Stomach (v),to tolerate
Synapse,junction between two nerve cells
Carrion,dead flesh; carcasses
Sate,satisfy
Syncopation,type of musical rhythm with missed beats
Apposite,fitting; suitable
Quisling,traitor
Seine,type of fishing net
Burlesque,1. comic play; 2. lampoon
Incubus,encumbrance; nightmarish thing
Sibyl,prophetess
Limpid,transparently clear
Odometer,instrument to measure distance covered
Quotidian,daily; routine
Dormancy,state of inactivity
Jamb,door post
Partiality,bias
Drabness,dullness
Esoterica,obscure details
Prattle,mindless talk
Purist,conservative; one who insists on correct forms of language etc.
Arresting (a),attracting attention; striking
Chantey,type of song sung by sailors
Orate,speak in a pompous manner
Table (v),put down for future discussion
Homogeneity,evenness; uniformity
Personification,1. represent something as a person; 2. a concrete example of
Trilogy,set of three (literary works etc.); tetralogy = set of four
Shirk,avoid (esp. work)
Teetotalism,total abstinence from alcohol
Pith,center; soft part of stem; essence
Sinistral,left-handed (or counterclockwise) [dextral - right handed]
