word,meaning
Proliferate,to increase in number quickly
Propitiate,to conciliate; to appease
Propriety,correct behavior; obedience to rules and customs
Prudence,"wisdom, caution, or restraint"
Pungent,Sharp and irritating to the senses
Quiescent,motionless
Rarefy,to make things thinner or sparser
Repudiate,to reject the validity of
Reticent,"silent, reserved"
Rhetoric,Effective writing or speaking
Satiate,to satisfy fully or overindulge
Soporific,causing sleep or lethargy
Specious,deceptively attractive; seemingly plausible but fallacious
Stigma,a mark of shame or discredit
Stolid,"unemotional, lacking sensitivity"
Sublime,lofty or grand
Tacit,Done without using words
Taciturn,"Silent, not talkative"
Tirade,long harsh speech or verbal attack
Torpor,extreme mental of physical sluggishness
Transitory,"temporary, lasting a brief time"
Vacillate,to sway physically; to be indecisive
Venerate,to respect deeply
Veracity,filled with truth and accuracy
Verbose,wordy
Vex,to annoy
Volatile,easily aroused or changeable;lively or explosive
Waver,to fluctuate between choices
Whimsical,acting in a fanciful or capricious manner; unpredictable
Zeal,"Passion, excitement"
introspection,examining one's own thoughts and feelings
philanthropist,one who loves mankind
antidote,medicine used against a poison or a disease
strive,"to make great efforts, to struggle"
ambidextrous,able to use the left hand or the right equally well
precursors,"a person or thing that precedes, as in a process or job."
retrospective,Looking back on past
introvert,one who turns towards himself
gerontocracy,government ruled by old people
aggravate,make worse; irritate
braggart,boastful
entice,"attract, lure"
equilibrium,state of being balanced
adorn,add beauty; decorate
malevolent,malicious; evil; having or showing ill will
connote,"Suggest or imply in addition to the precise, literal meaning"
abhor,to hate; to detest
agile,active; quick-moving
endeavor,"to make an effort, to try very hard"
stray,wander lose one's way
renovate,restore something to better condition
curriculum,course of study
drowsiness,feeling sleepy half asleep
disrobe,undress
xenophile (zen-uh-fahyl),a person who is attracted to foreign peoples cultures
suffocate,cause or have difficulty in breathing
sequence,succession connected line of
scent,smell (especially pleasant)
affinity,close connection; relationship
heterogeneous,made up of different kinds
animosity,strong dislike
fragile,easily injured broken or destroyed
legacy,Bequest or inheritance
massacre,cruel killing of a large number of people
submerge,put under water liquid sink out of sight
combustion,process of burning
adulteration,making unpure; poorer in quality
premature,doing or happening something before the right time
inquest,"Legal or judicial inquiry, especially before a jury and especially made by a coroner into the cause of someone.s death"
shunned,"avoided, kept away from"
conceal,hide keep secret
anguish,severe suffering
indigenous,native
apt,well-suited; quick-witted
correlate,have a mutual relation
grumble,to complain
offhand,Without preparation or forethought
somersault,rolling backward or forward (not sideways) movement
extinguish,end the existence of/wipe or put out
edible,fit to be eaten/not poisonous
conjoin,to join together
surcharge,additional load/charge
accolade,praise; approval
disallow,refuse to allow or accept as a correct
opaqueness,dullness/not allowing light to pass through
impermeable,that cannot be permeated
console,give comfort or sympathy to
timid,shy easily frightened
abide,be faithful; to endure
embezzle,use in a wrong way for one's own benefit
warrant,authority written order guarantee
reminiscent,suggest something in the past
extinct,no longer active
loll,rest to sit or stand in a lazy way hang (dog's tongue)
acclaimed,welcomed with shouts and approval
clientele,customers
shallow,little depth; not earnest
brittle,easily broken
negligent,taking too little care
affable,polite and friendly
poseur,a person who attempts to impress by acting unlike himself
dangle,hand or swing loosely
moribund,in a dying state; near death
ascend,go or come up
relapse,fall back again
asterisk,the mark * (e.g.. omitted letters)
yarn,tale story fibers for knitting
arrogance,proud; superior manner of behaviour
salvage,the saving of property from loss
livid,"Furiously angry, enraged"
divergence,getting farther apart from a point
rejuvenation,becoming young in nature or appearance
allegiance,duty support loyalty
vigorous,strong energetic
dullard,"a stupid, insensitive person"
dwarf,person much smaller the usual size
fragrant,sweet-smelling
judicious,sound in judgment; wise
nihilism,total rejection of all religious and moral beliefs
odor,smell
scribble,write hastily
hospitable,liking to give hospitality
narcissism,Self-love
sawdust,tiny bits of wood
ingest,take in by swallowing
gait,"a manner of walking, stepping, or running"
sluggard,lazy slow-moving person
succumb,"yield, die"
reiterate,say or do again several times
flop,fail/move/fall clumsily
defer,postpone
ossified,turned to bone; hardened like bone; Inflexible
commuter,person who travels regularly
clot,half-solid lump formed from liquid
weigh,measure hoe heavy something is
steeply,rising or falling sharply
torque,twisting force causing rotation
benefactor,person who has given help
complaisant,trying to please; obliging
plea,request
moderation,quality of being limited; not extreme
enduring,lasting
invincible,too strong to be defeated
sanity,health of mind soundness of judgment
turmoil,trouble disturbance
flimsy,"lacking solidarity, strength"
tadpole,form of a frog when it leaves the egg
cryptic,secret with a hidden meaning
sponge,porous rubber for washing live at once expense
commemorate,keep the memory of
sadistic,Cruel
dote,show much fondness center one's attention
encapsulate,enclose in capsule
fission,splitting or division (esp. of cells)
alloy,to debase by mixing with something inferior
dormant,in a state of inactivity but awaiting development
gallant,"brave,behaves well with women"
grievous,causing grief or pain; serious dire grave
enzyme,catalyst
shard,A piece of broken pottery
hypocrisy,falsely making oneself appear to be good
eradicate,get rid of pull up by the roots
chisel,steel tool for shaping materials
infuriate,fill with fury or rage
engulf,swallow up
euphoria,elation state of pleasant excitement
renowned,celebrated; famous
riddle,puzzling person or thing
evoke,call up bring out
mischievous,harmful; causing mischief
disproof,proof to the contrary
misogynist,one who hates women/females
abysmal,extreme bad
writ,written order
pertain,belong as a part have reference
erratic,irregular in behaviour or opinion
impromptu,without preparation
inclined,directing the mind in a certain direction
constrict,make tight or smaller
perish,be destroyed decay
Lambaste,attack verbally
luminary,star; light-giving body
auxiliary,helping; supporting
extralegal,outside the law
tonic,something giving strength or energy
endorse,write one's name on the back of
turbulence,being uncontrollably violent
indistinct,not easily heard; seen clearly marked
abstruse,difficult to comprehend; obscure
limp,lacking strength; walking unevenly
parenthesis,sentence within another one something separated
sophisticated,complex; subtle; refined
aberration,straying away from what is normal
recuperate,become strong after illness loss exhaustion
perjury,willful false statement unlawful act
mite,"A very small amount, portion, or particle"
pest,destructive thing or a person who is nuisance
pluck,pull the feathers off pick (e.g.. flowers)
colloquial,involving or using conversation.
yeoman,man owning small estate; middle-class farmer
ail,"to cause pain, uneasiness, or trouble to."
fidelity,loyalty accuracy
mesmerize,hypnotize
paradigm,a model example or pattern
gullible,easily gulled
sobriety,quality or condition of being sober
dislodge,move force from the place occupied
fleet,number of ships; quick-moving
predominate,have more power than others
foolproof,incapable of failure or error
suffice,be enough
spear,weapon with a metal point on a long shaft
solvent,of the power of forming a solution
presentiment,anticipatory fear; premonition
vivacious,lively high-spirited
coagulation,change to a thick and solid state
liberality,free giving; generosity
elaborate,worked out with much care in great detail
brass,yellow metal (mixing copper and zinc)
patron,regular customer person who gives support
forgery,counterfeit
woo,try to win
cordial,warm and sincere
cumbersome,burdensome; heavy and awkward to carry
beguile,mislead or delude; cheat; pass time
retrograde,receding
sheath,cover for the blade of a weapon or a tool
bewilder,puzzle; confuse
knit,draw together; unite firmly
unscathed,unharmed unhurt
chortle,loud chuckle of pleasure or amusement
jabber,talk excitedly; utter rapidly
pivotal,of great importance (others depend on it)
implosion,collapse; bursting inward
repel,refuse to accept/cause dislike
superimpose,put something on the top
centurion,leader of a unit of 100 soldiers
enigma,something that is puzzling
calipers,metal supports attached to the legs measuring instrument
redeem,get back by payment compensate
buoyant,able to float; light-hearted
impede,hinder; get in the way of
stride,walk with long steps
boisterous,noisy; restraint
resuscitation,coming back to consciousness
concur,agree in opinion happen together
recitals,a number of performance of music
treacherous,"not to be trusted, perfidious"
indulgent,inclined to indulge
pilferer,"to steal, especially in small quantities"
foster,nurture; care for
apartheid,brutal racial discrimination
edify,instruct; correct morally
evasive,tending to evade
bogus,sham; counterfeit; not genuine
dexterity,skill (esp. in handling)
lampoon,publicly mock or ridicule
skit,short piece of humorous writing
incongruous,out of place; not in harmony or agreement
repulsive,causing a feeling of disgust
refine,make or become pure cultural
multifarious,varied; motley; greatly diversified
substantiation,giving facts to support (statement)
feud,bitter quarrel over a long period of time
indefatigability,not easily exhaustible; tirelessness
euthanasia,easy and painless death
underbid,make a lower bid then somebody else
cognizant,being fully aware of
concoct,"invent, prepare by mixing together"
turquoise,greenish-blue precious stone
decree,order given by authority
irate,angry
frantic,wildly excited with joy; pain; anxiety
alcove,recess/partially enclosed place
derogatory,insulting; tending to damage
fawn,To seek favor or attention by flattery and obsequious
miser,person who loves wealth and spends little
valiant,brave
pervade,spread through every part of
tarnished,lost brightness
irrevocable,final and unalterable
soggy,heavy with water
savor,taste flavor something
wanton,unrestrained; willfully malicious; unchaste
unearth,discover and bring to light
hoax,mischievous trick played to deceive
voluptuous,arousing sensual pleasures
earthenware,dishes made of baked clay
suppress,prevent from being known put an end to
vindictive,having a desire to revenge
defiance,open disobedience or resistance
pinch,be too tight take between the thumb and finger
coalescing,coming together and uniting into one substance
gust,outburst of feeling; sudden rain wind fire etc.
warmonger,person who stirs up war
wince,show bodily or mental pain
gush,burst out suddenly/talk ardently
swerve,change direction suddenly
peccadillo,small sin small weakness in one's character
precursory,preliminary; anticipating
plunge,move quickly suddenly and with force
counterfeit,forgery
revere,have deep respect for
torment,severe pain or suffering
abraded,rubbed off; worn away by friction
squander,spend wastefully
quandary,state of doubt or perplexity
dawdler,person who is slow waste of time
noxious,harmful
compunction,feeling of regret for one's action
deplete,use until none remains
coerce,compel to force to make obedient
recompense,make payment to reward punish
polemic,a controversial argument / a person engaged in such an argument
personable,pleasing in appearance attractive
punitive,Punishing
reciprocity,granting of privileges in return for similar
holster,leather case for a pistol
stifled,"suppressed, kept back"
aseptic,surgically clean
propagation,increasing the number; spreading; extending
hapless,unlucky
ineptitude,quality of being unskillful
distraught,distracted violently upset in mind
vigilance,watchfulness self-appointed group who maintain order
condense,increase in density strength make laconic
stipulate,state or put forward as a necessary condition
diabolical,having the qualities of a devil
provoke,make angry vax
lustrous,being bright; polished
lament,show feeling of great sorrow
subpoena,written order requiring a person to appear in a low court
accrue,accumulate
extol,to praise highly
vitriolic,corrosive; sarcastic
idolatry,excessive admiration of
soot,black powder in smoke
valorous,brave
illicit,unlawful; forbidden
apropos,by the way
haughty,arrogant; conceited
aversion,strong dislike
floe,a sheet of floating ice
complaisance,tending to comply obliging willingness to please
supersede,take the place of
apprehensive,grasping understanding fear unhappy feeling about future
latent,present but not yet active; developed or visible
viscous,sticky/semi-fluid
topple,be unsteady and overturn
deviance,being different in moral standards (from normal)
concord,agreement or harmony
enunciate,pronounce (words)/express a theory
inept,unskillful; said or done at the wrong time
variegate,To mark with different shade or colors
malevolence,wishing to do evil
entangle,put into difficulties
slack,sluggish; dull; not tight
calisthenics,exercises to develop strong bodies
regicide,crime of killing a king
palate,roof of the mouth; sense of taste
prevalent,common
recluse,person who lives alone and avoids people
pungency,sharpness stinging quality
tamper,interfere with
hush,make or become silent
felon,person guilty of murder
shun,keep away from avoid
finesse,delicate way of dealing with a situation
bigot,stubborn; narrow-minded person
aloof,reserved; indifferent
indomitable,not easily discouraged or subdued
imperative,urgent; essential
smolder,burn slowly without flame
muffler,cloth worn round the neck; silencer
perilous,dangerous
apprise,give notice to inform
dismal,sad; gloomy; miserable
trickle,flow in drops
enthral,"take the whole attention, enslave"
disencumber,free from encumbrance
impending,imminent; about to happen; expected
lavish,giving or producing freely liberally or generously
stickler,person who insists on importance of something
avow,admit; declare openly
stigma,mark of shame or disgrace
mendacious,lying; habitually dishonest
indulge,gratify; give way to satisfy allow oneself
castigation,severe punishment
deter,discourage hinder
vehemence,forcefulness
benevolence,wish or activity in doing good
gist,the point general sense
incredulous,skeptical; unwilling to believe
squat,crouch/settle without permission
exuberance,state of growing vigorously being full of life
soar,rise fly high
tenacity,firmness persistency adhesiveness tending to hang on
incessant,Constant
procrastination,keeping on putting off
conciliatory,reconciling; soothing; comforting; mollifying
subdue,overcome bring under control
tassel,bunch of threads
apostate,one who abandons long-held religious or political convictions
engrave,impress deeply
berate,scold sharply
connotation,suggestion in addition to
flaunting,show off complacently
immaculate,pure; faultless
pillage,plunder (especially in war)
extrovert,cheerful person
prone,prostrate; inclined to (undesirable things)
astute,clever quick at seeing to get an advantage
coy,shy/modest (especially of a girl)
truce,(agreement) stop of fighting for a time
precepts,rules establishing standards of conduct
exorbitant,much too high or great
incorrigibility,cannot be cured or corrected
sober,self-controlled
approbation,approval
conviction,convincing firm belief
efface,"rub or wipe out, obliterate"
vex,annoy distress trouble
flamboyant,brightly colored; florid
nonchalant,not having interest
gorge,eat greedily/narrow opening with a stream
poncho,large piece of cloth
grandiloquent,using pompous words
pitfall,covered hole as a trap unsuspected danger
coddle,treat with care and tenderness
impassive,unmoved; feeling no sign of passion
lull,become quiet or less active
curtail,make shorter then was planned
perch,take up a high position
shrill,sharp; piercing
prudence,careful forethought
cohort,a group or band of people
boorish,crude; rude
arboreal,of connected with trees
intersperse,place here and there
oblivious,unaware; having no memory
ignoble,not noble; inferior
espouse,To take in marriage
sagacious,having sound judgment; perceptive; wise like a sage
nebulous,cloud-like; hazy; vague; indistinct
bask,in enjoy warmth and light
heed,attention/give notice to
incise,engrave; make a cut in
endearing,making dear or liked
inferno,hell
palpitate,tremble beat rapidly and irregularly
fluke,lucky; stroke
fluster,make nervous or confused
graze,touch or scrape lightly in passing
laudatory,expressing or giving praise
matriculation,be admitted enter a university as a student
susceptibility,sensitiveness
embellish,make beautiful
ominous,threatening
ostracism,shut out from society refuse to meet talk
divulge,make known something secret
pliant,easily bent
malapropism,misuse of a word (for one that resembles it)
quell,suppress subdue
extort,obtain by threats violence
cling,to resist separation
sidestep,step to one side
dubious,feeling doubt
fidget,move restlessly make nervous
epitome,brief summary representative example a typical model
corroboration,additional strengthening evidence
garner,to gather and save to store up
ambrosial,extremely pleasing to taste
ferocity,savage cruelty
expurgate,to remove obscenity purify censor
cantankerous,bad-tempered/quarrelsome
arabesque,a complex ornate design
attune,bring into harmony
chaste,pure
rift,split crack dissension
palpability,can be felt or touched
veer,change direction
insensible,unconscious; unresponsive; unaffected
gourmand,a person who is devoted to eating and drinking to excess
plead,address a court of law as an advocate
morbid,diseased; unhealthy (e.g.. about ideas)
enmity,hatred being an enemy
impervious,not allowing to pass through (of materials)
feral,Existing in a wild or untamed state
convoke,call together summon
breach,opening; broken place; breaking
Conduce,To bring about
superfluous,more then is needed or wanted
daunt,intimidate make fearful
trudge,walk heavily
mephitic,Poisonous; noxious
equipoise,equal distribution of weight equilibrium
chastisement,punishment
thrift,care economy thriving prosperous
rarefy,to make thin to make less dense to purify or refine
neophyte,person who has been converted to a belief
dissent,have a different opinion refuse to assent
lackluster,(of eyes) dull
veneration,regard with deep respect
fret,worry; irritation; wear away
pious,dutiful to parents; devoted to religion
impiety,lack of reverence or dutifulness
rave,act with excessive enthusiasm
heresy,belief contrary to what is generally accepted
frenetic,frantic; frenzied
disheveled,untidy
scalding,hot enough to boil
telltale,That gives warning or information
temperate,showing self-control
grave,serious requiring; consideration
exoneration,set someone clear (e.g.. from blame)
hoodwink,trick; mislead
tawdry,cheap gaudy showy tacky
debacle,a breakup overthrow sudden disaster
striated,striped grooved or banded
feckless,lacking purpose or vitality ineffective careless
reticence,uncommunicativeness
resilience,quality of quickly recovering the original shape
ardor,enthusiasm
disdain,look on with contempt
cajole,use flattery or deceit to persuade
glimmer,weak/unsteady light
jocular,meant as a joke
taunt,contemptuous reproach hurtful remark
conundrum,a riddle dilemma enigma
incite,stir up; rouse
terse,brief and to the point
abeyance,suspended action
drawl,slow way of speaking
myriad,very great number
apotheosis,deification glorification to godliness
guileless,honest; straightforward
clinch,come to grips/settle conclusively
clamor,shout complain with a lot of noise
falter,waver/move in an uncertain manner
nexus,a connection or link
inimitable,defying; imitation; unmatchable
ale,fermented alcoholic beverage similar to but heavier than beer
ulterior,situated beyond
jagged,notched
sash,long strip worn round the waist
recant,take back as being false give up
abet,help/encourage somebody (in doing wrong)
sever,break off
render,deliver provide represent
discreet,careful/prudent
itinerate,to travel from place to place to peregrinate
innocuous,causing no harm
ruffian,violent cruel man
abrogate,repeal or annul by authority
tepid,lukewarm
talon,claw of a bird of prey
quiescence,state of being passive/motionless
exhaustive,complete; thorough
flinch,draw; move back; wince
sodden,soaked; saturated
crush,press lose shape subdue overwhelm
insurrection,rising of people to open resistance to
ossify,to turn to bone to settle rigidly into an idea
doleful,dismal; mourful
quack,person dishonestly claiming to something
commodious,having plenty of space for what is needed
emaciate,make thin and weak
pariah,an outcast a rejected and despised person
unfeigned,not pretended sincere
fixate,stare at
prim,neat; formal
thwart,obstruct/frustrate
preternatural,not normal or usual
vilify,slander say evil things
transgress,break go beyond (a limit)
hegemony,predominance
insinuate,suggest unpleasantly; make a way for something gently
recast,cast or fashion anew
intransigence,unwillingness to compromise stubbornness intractability
servile,like a slave lacking independence
infuse,put; pour; fill
engrossing,taken up all the time or attention writing in large or formal
heinous,odious (of crime)
covert,disguised
fracas,noisy; quarrel
sketchy,"shortly, roughly, quickly"
putrefaction,becoming rotten
ebullience,exuberance outburst of feeling
colander,bowl-shaped vessel with many holes used to drain off water
festoon,a decorative chain or strip hanging between two points
cower,crouch shrink back
proclivity,inclination
assail,attack violently
maul,hurt by rough handling
forfeit,suffer the loss of something
urbane,elegant refined in manners
quixotic,"fanciful, fantastic, imaginary"
burnish,to polish; rub to a shine
equivocal,having a double or doubtful meaning; suspicious
stingy,spending using unwillingly
penury,extreme poverty
gnaw,waste away; bite steadily
torpid,dull and slow
occluded,blocked up
provisional,of the present time only
ire,anger
rotund,rich and deep; plump and round
wean,to turn away (from a habit)
profuse,abundant/lavish
savant,person of great learning
ruddy,"reddish, healthy-looking"
beatify,to bless; make happy or ascribe a virtue to
vain,without use result conceited
pry,get something inquire too curiously
adamant,kind of stone; inflexible
puerile,childish
glut,supply to much fill to excess
crease,line made by crushing white line on the ground in cricket
ascertain,get to know
splice,join (two ends)
discrete,distinct
sting,something sharp
dynamo,a generator something that produces electric current
penitent,feeling or showing regret
retinue,following; attendants
effrontery,boldness impudence arrogance
cogitate,think deeply mediate
obtuse,blunt/stupid
dissolution,disintegration looseness in morals
indolence,laziness
privation,hardship
consummate,perfect/make; perfect/complete
pyre,large pile of wood for burning
derision,ridicule mockery deriding
pusillanimous,cowardly; craven
churlish,(adj) boorish
pulchritude,Physical beauty
corporeal,physical of or for the body
streak,long thin move very fast
insularity,narrow-mindedness; isolated
decry,disapprove of
coeval,of the same period; coexisting
penchant,strong inclination a liking
admonitory,containing warning
onus,"responsilibilty,burden"
vanquish,conquer
luculent,easily understood; lucid; clear
auspicious,favorable successful prosperous
palliate,lessen the severity of
extirpate,to destroy exterminate cut out exscind
dearth,shortage
recidivism,relapse into antisocial or criminal behavior
pellucid,transparent easy to understand
baneful,causing harm or ruin; pernicious; destructive
lurk,be out of view ready to attack
discredit,refuse to believe
assiduous,diligent hard-working; sedulous
covetous,eagerly desirous
accretion,the growing of separate things into one
foray,to venture
lumber,move in a clumsy/noisy way
coda,passage that completes a piece of music
indelible,that cannot be rubbed out
cornucopia,abundant supply
veneer,surface appearance covering the TRUE nature
serration,having a toothed edge
deprave,make morally bad;corrupt
dainty,pretty/delicate(food)/difficult to please
petrify,to make hard rocklike
odious,repulsive; hateful
fledgling,an inexperienced person.
dilate,speak comprehensively become wider large
highbrow,(person) with superior tastes
tocsin,"a signal, especially of alarm"
inane,silly; senseless
tyro,a beginner
duplicity,deliberate deception
turbid,muddy having the sediment stirred up
protracted,prolonged
taut,tightly stretched
interim,as an installment
punctilious,Meticulous
inundate,flood cover by overflowing
ignominious,shameful; dishonorable; undignified; disgraceful
avid,eager; greedy
bellicose,inclined to fighting
plaque,flat metal on a wall as a memorial
sanctimony,self-righteousness hypocritical with false piety
consume,get to the end of
lien,legal claim until a debt on it is repaid
snub,treat with contempt
attenuate,make thin; weaken; enervate
barren,not good enough; unable to have young ones without value
exigency,emergency an urgent situation
finagle,to practice deception or fraud; scheme.
florid,very much ornamented naturally red (e.g.. of face)
libel,statement that damages reputation
credulity,too great a readiness to believe things
dud,no use person something that fails
forbearance,patience; willingness to wait
idiosyncrasy,personal mannerism
chagrin,vexation
waft,scent waving movement carry lightly through
conceit,over-high opinion of too much pride
volubility,fluency verbosity easy use of spoken language
resigned,unresistant; submissive
facile,easily done
contiguous,touching neighboring near
verisimilitude,appearing TRUE or real
husk,worthless; outside part of anything
pernicious,harmful; injurious
fringe,edge ornamental border part of hair over the forehead
somatic,of the body
abut,border on
chastened,corrected punished
coax,get somebody to do something by kindness
incursion,a raid; a sudden attack
dolt,stupid fellow
parley,negotiation
effluvia,outflow in a stream of particles a noxious odor or vapor
jejune,insubstantial/dull/immature
penurious,poor/stingy
obfuscate,to darken; make obscure; muddle
preclude,prevent make impossible
defalcate,(v) to embezzle or misappropriate
disingenuous,sophisticated artful trying to deceive cunning
encumbrance,burden things that get on the way of
quirk,habit or action peculiar to something
obtain,to be established accepted or customary
gloat,over look at with selfish delight
morose,ill-tempered; unsocial
scorch,become discolored/dry up/go at high speed
foil,prevent from carrying out
perpetrate,be guilty commit (a crime)
regale,to delight or entertain to feast
extempore,without previous thought or preparation
Palpable,Obvious
malinger,to fake illness or injury in order to shirk a duty
pundit,pedant authority on a subject
Pastiche,work (usually artistic) which imitates
transitory,brief
extant,still in existence
waffle,talk vaguely and without much result
deluge,great flood heavy rush of water
ascribe,consider to be the origin of or belonging to
squalid,foul filthy
sullied,to be stained or discredited
exscind,to cut out cut away
grouse,Complain or grumble (verb)
lachrymose,causing tears; tearful
visceral,of the internal organs of the body
grovel,crawl; humble oneself
temerity,boldness brashness intrepidness
collusion,secret agreement for a deceitful purpose
extenuate,reduce the strength of lessen seriousness partially excuse
bandy,discuss lightly or glibly; exchange (words) heatedly
undulate,to move in wavelike fashion fluctuate
harbinger,One that indicates or foreshadows what is to come; a forerunner.
evince,to show clearly to indicate
fagged,too tired
shrewd,astute; showing sound judgement
hollow,not soled with hole
conspicuous,easily seen remarkable
august,majestic; venerable
rife,widespread
snare,trap
rancorous,feeling bitterness; spitefulness
mellifluous,sweetly flowing
levity,lack of seriousness
moot,open to discussion or debate; doubtful
gaucherie,socially awkward; tactless behavior
macabre,gruesome; suggesting death
amortize,end (a debt) by setting aside money
finical,too fussy about food clothing etc.
paean,song of praise or triumph
emote,stir up excite
nadir,lowest; weakest point
congeal,make or become stiff and solid
uncouth,rough awkward
verve,spirit vigor enthusiasm
lope,move along with long strides
fervor,warmth of feelings earnestness
lionize,treat as a famous person
expostulate,argue earnestly to dissuade correct or protest
epicurean,devoted to pleasure (sensuous enjoyment)
discourse,speech lecture
sumptuous,magnificent
noisome,offensive; disgusting (smell)
sophomoric,being immature
dogmatic,positive certain arbitrary without room for discussion
lassitude,weariness; tiredness
