word,meaning
rarefied,"(of air, especially that at high altitudes) of lower pressure than usual; thin."
recondite,(of a subject or knowledge) little known; abstruse.
acuity,"Sharpness or keenness of thought, vision, or hearing."
acumen,The ability to make good judgements and take quick decisions.
astuteness,ABSENT
discernment,The ability to judge well.
discretion,The quality of behaving or speaking in such a way as to avoid causing offence or revealing confidential information.
flair,A special or instinctive aptitude or ability for doing something well.
ken,One's range of knowledge or understanding.
ingenious,"(of a person) clever, original, and inventive."
astute,Having or showing an ability to accurately assess situations or people and turn this to one's advantage.
astute,Having or showing an ability to accurately assess situations or people and turn this to one's advantage.
circumspection,The quality of being wary and unwilling to take risks; prudence.
finesse,Impressive delicacy and skill.
judiciousness,ABSENT
omniscient,Knowing everything.
percipient,Having good insight or understanding; perceptive.
perspicacious,Having a ready insight into and understanding of things.
precocious,(of a child) having developed certain abilities or inclinations at an earlier age than is usual or expected.
providence,The protective care of God or of nature as a spiritual power.
prudent,Acting with or showing care and thought for the future.
pundit,An expert in a particular subject or field who is frequently called upon to give their opinions to the public.
sagacity,The quality of being sagacious.
sapient,"Wise, or attempting to appear wise."
asinine,Extremely stupid or foolish.
deranged,Mad; insane.
fatuous,Silly and pointless.
gauche,Unsophisticated and socially awkward.
gullible,Easily persuaded to believe something; credulous.
idiotic,Very stupid.
ignoramus,An ignorant or stupid person.
inane,Lacking sense or meaning; silly.
maladroit,Inefficient or inept; clumsy.
unwitting,(of a person) not aware of the full facts.
vacuous,Having or showing a lack of thought or intelligence; mindless.
vapid,Offering nothing that is stimulating or challenging; bland.
altruistic,Showing a disinterested and selfless concern for the well-being of others; unselfish.
benevolent,Well meaning and kindly.
munificent,Characterized by or displaying great generosity.
philanthropic,(of a person or organization) seeking to promote the welfare of others; generous and benevolent.
extravagant,Lacking restraint in spending money or using resources.
lavish,"Sumptuously rich, elaborate, or luxurious."
prodigal,Spending money or using resources freely and recklessly; wastefully extravagant.
profligate,Recklessly extravagant or wasteful in the use of resources.
spendthrift,"A person who spends money in an extravagant, irresponsible way."
economical,"Giving good value or return in relation to the money, time, or effort expended."
frugal,Sparing or economical as regards money or food.
frugal,Sparing or economical as regards money or food.
thrifty,Using money and other resources carefully and not wastefully.
miserly,Of or characteristic of a miser.
parsimonious,Very unwilling to spend money or use resources.
conspicuous,Clearly visible.
ostentatious,Characterized by pretentious or showy display; designed to impress.
braggadocio,Boastful or arrogant behaviour.
braggart,A person who boasts about their achievements or possessions.
bravado,A bold manner or a show of boldness intended to impress or intimidate.
gasconade,Extravagant boasting.
prate,Talk foolishly or at tedious length about something.
rodomontade,Boastful or inflated talk or behaviour.
vaunt,"Boast about or praise (something), especially excessively."
chaste,"Abstaining from extramarital, or from all, sexual intercourse."
coy,(especially with reference to a woman) making a pretence of shyness or modesty which is intended to be alluring.
demure,"(of a woman or her behaviour) reserved, modest, and shy."
diffident,Modest or shy because of a lack of self-confidence.
meek,"Quiet, gentle, and easily imposed on; submissive."
resigned,Having accepted something unpleasant that one cannot do anything about.
selfeffacing,Not claiming attention for oneself; retiring and modest.
temperate,Relating to or denoting a region or climate characterized by mild temperatures.
unassertive,(of a person) not having or showing a confident and forceful personality.
unobtrusive,Not conspicuous or attracting attention.
unpretentious,"Not attempting to impress others with an appearance of greater importance, talent, or culture than is actually possessed."
verecund,ABSENT
ameliorate,Make (something bad or unsatisfactory) better.
amend,"Make minor changes to (a text, piece of legislation, etc.) in order to make it fairer or more accurate, or to reflect changing circumstances."
enrich,Improve or enhance the quality or value of.
pacify,"Quell the anger, agitation, or excitement of."
upgrade,"Raise (something) to a higher standard, in particular improve (equipment or machinery) by adding or replacing components."
brace,"A device fitted to something, in particular a weak or injured part of the body, to give support."
bolster,"A long, thick pillow that is placed under other pillows for support."
buttress,A structure of stone or brick built against a wall to strengthen or support it.
underpin,Support (a building or other structure) from below by laying a solid foundation below ground level or by substituting stronger for weaker materials.
attenuate,"Reduce the force, effect, or value of."
debilitate,Make (someone) very weak and infirm.
devitalize,Deprive of strength and vigour.
enervate,Make (someone) feel drained of energy or vitality.
enfeeble,Make weak or feeble.
rarefy,Make or become less dense or solid.
sap,"The fluid which circulates in the vascular system of a plant, consisting chiefly of water with dissolved sugars and mineral salts."
unnerve,Make (someone) lose courage or confidence.
abet,"Encourage or assist (someone) to do something wrong, in particular to commit a crime."
allay,"Diminish or put at rest (fear, suspicion, or worry)"
alleviate assuage,ABSENT
conciliate,Stop (someone) being angry or discontented; placate.
mitigate,"Make (something bad) less severe, serious, or painful."
moderate,"Average in amount, intensity, quality, or degree."
mollify,Appease the anger or anxiety of (someone)
palliate,Make (a disease or its symptoms) less severe without removing the cause.
placate,Make (someone) less angry or hostile.
cacophony,A harsh discordant mixture of sounds.
clamor,"A loud and confused noise, especially that of people shouting."
contention,Heated disagreement.
discord,Disagreement between people.
disharmony,Lack of harmony or agreement.
din,"A loud, unpleasant, and prolonged noise."
dissonance,Lack of harmony among musical notes.
dissension,Disagreement that leads to discord.
dissent,The holding or expression of opinions at variance with those commonly or officially held.
dissidence,Protest against official policy.
vociferous,Expressing or characterized by vehement opinions; loud and forceful.
attunement,ABSENT
consonance,Agreement or compatibility between opinions or actions.
diapason,"An organ stop sounding a main register of flue pipes, typically of eight-foot pitch."
euphony,The quality of being pleasing to the ear.
mellifluousness,ABSENT
melodiousness,ABSENT
organum,An early type of polyphonic music based on plainsong with an accompaniment sung below or above the melody.
baroque,"Relating to or denoting a style of European architecture, music, and art of the 17th and 18th centuries that followed Mannerism and is characterized by ornate detail. In architecture the period is exemplified by the palace of Versailles and by the work of Wren in England. Major composers include Vivaldi, Bach, and Handel; Caravaggio and Rubens are important baroque artists."
baroque,"Relating to or denoting a style of European architecture, music, and art of the 17th and 18th centuries that followed Mannerism and is characterized by ornate detail. In architecture the period is exemplified by the palace of Versailles and by the work of Wren in England. Major composers include Vivaldi, Bach, and Handel; Caravaggio and Rubens are important baroque artists."
ornate,Elaborately or highly decorated.
flamboyant,"(of a person or their behaviour) tending to attract attention because of their exuberance, confidence, and stylishness."
rococo,"Denoting furniture or architecture characterized by an elaborately ornamental late baroque style of decoration prevalent in 18th-century continental Europe, with asymmetrical patterns involving motifs and scrollwork."
bandbox,A circular cardboard box for carrying hats.
debonair,"(of a man) confident, stylish, and charming."
faddish,Intensely fashionable or popular for a short period of time.
modish,Conforming to or following what is currently popular and fashionable.
posh,Elegant or stylishly luxurious.
rakish,"Having or displaying a dashing, jaunty, or slightly disreputable quality or appearance."
austere,Severe or strict in manner or attitude.
dour,"Relentlessly severe, stern, or gloomy in manner or appearance."
flinty,"Of, containing, or reminiscent of flint."
ghastly,Causing great horror or fear.
grim,Very serious or gloomy.
inimical,Tending to obstruct or harm.
intimidating,"Having a frightening, overawing, or threatening effect."
louring,The action of moving someone or something in a downward direction.
rugged,"(of ground or terrain) having a broken, rocky, and uneven surface."
severe,(of something bad or undesirable) very great; intense.
stark,Severe or bare in appearance or outline.
steely,"Resembling steel in colour, brightness, or strength."
airy,"(of a room or building) spacious, well lit, and well ventilated."
agreeable,Quite enjoyable and pleasurable; pleasant.
alluring,Powerfully and mysteriously attractive or fascinating; seductive.
bonny,Attractive or beautiful.
comely,(typically of a woman) pleasant to look at; attractive.
fair,Treating people equally without favouritism or discrimination.
fetching,Attractive.
handsome,(of a man) good-looking.
mesmeric,Causing a person to become completely transfixed and unaware of their surroundings.
pulchritudinous,Beautiful.
winsome,"Attractive or appealing in a fresh, innocent way."
dainty,Delicately small and pretty.
diaphanous,"(especially of fabric) light, delicate, and translucent."
elegant,Graceful and stylish in appearance or manner.
ethereal,Extremely delicate and light in a way that seems not to be of this world.
exquisite,Extremely beautiful and delicate.
frail,(of a person) weak and delicate.
petite,(of a woman) attractively small and dainty.
toothsome,(of food) temptingly tasty.
bearish,"Resembling or likened to a bear, typically in being rough, surly, or clumsy."
boorish,Rough and bad-mannered; coarse.
churlish,Rude in a mean-spirited and surly way.
cloddish,"Foolish, awkward, or clumsy."
coarse,Rough or harsh in texture.
gruff,(of a voice) rough and low in pitch.
inurbane,ABSENT
loutish,(of a man or boy) uncouth and aggressive; thuggish.
lowbred,Characterized by coarse behavior or vulgar breeding.
oafish,Rough or clumsy and unintelligent.
swinish,Unpleasant or contemptible.
uncouth,"Lacking good manners, refinement, or grace."
impregnable,(of a fortified position) unable to be captured or broken into.
impervious,Not allowing fluid to pass through.
impermeable,Not allowing fluid to pass through.
impenetrable,Impossible to pass through or enter.
invulnerable,Impossible to harm or damage.
unassailable,"Unable to be attacked, questioned, or defeated."
avert,Turn away (one's eyes or thoughts)
forestall,Prevent or obstruct (an anticipated event or action) by taking advance action.
obviate,Remove (a need or difficulty)
preclude,Prevent from happening; make impossible.
prohibit,"Formally forbid (something) by law, rule, or other authority."
oppressive,Inflicting harsh and authoritarian treatment.
burdensome,Difficult to carry out or fulfil; taxing.
onerous,"(of a task or responsibility) involving a great deal of effort, trouble, or difficulty."
arduous,Involving or requiring strenuous effort; difficult and tiring.
backbreaking,(of manual labour) physically demanding.
cumbersome,Large or heavy and therefore difficult to carry or use; unwieldy.
exacting,"Making great demands on one's skill, attention, or other resources."
formidable,"Inspiring fear or respect through being impressively large, powerful, intense, or capable."
laborious,Requiring considerable time and effort.
rigorous,Extremely thorough and careful.
taxing,Physically or mentally demanding.
permeate,Spread throughout (something); pervade.
imbue,Inspire or permeate with (a feeling or quality)
infuse,Fill; pervade.
suffuse,Gradually spread through or over.
dodge,Avoid (someone or something) by a sudden quick movement.
shirk,Avoid or neglect (a duty or responsibility)
slack,Not taut or held tightly in position; loose.
malinger,Pretend to be ill in order to escape duty or work.
trounce,Defeat heavily in a contest.
vanquish,Defeat thoroughly.
whitewash,"A solution of lime and water or of whiting, size, and water, used for painting walls white."
absolve,"Declare (someone) free from guilt, obligation, or punishment."
acquit,Free (someone) from a criminal charge by a verdict of not guilty.
exculpate,Show or declare that (someone) is not guilty of wrongdoing.
exonerate,(of an official body) absolve (someone) from blame for a fault or wrongdoing.
vindicate,Clear (someone) of blame or suspicion.
critical,Expressing adverse or disapproving comments or judgements.
imperative,Of vital importance; crucial.
exigent,Pressing; demanding.
bootlick,Behave obsequiously towards someone in order to gain favour.
fawn,A young deer in its first year.
grovel,Lie or crawl abjectly on the ground with one's face downwards.
pander,Gratify or indulge (an immoral or distasteful desire or taste or a person with such a desire or taste)
toady,A person who behaves obsequiously to someone important.
compliant,"Disposed to agree with others or obey rules, especially to an excessive degree; acquiescent."
deferential,Showing deference; respectful.
obsequious,Obedient or attentive to an excessive or servile degree.
servile,Having or showing an excessive willingness to serve or please others.
subservient,Prepared to obey others unquestioningly.
ardent,Very enthusiastic or passionate.
feverish,Having or showing the symptoms of a fever.
fervent,Having or displaying a passionate intensity.
fervid,"Intensely enthusiastic or passionate, especially to an excessive degree."
fervor,Intense and passionate feeling.
impassioned,Filled with or showing great emotion.
passionate,"Having, showing, or caused by strong feelings or beliefs."
vehement,"Showing strong feeling; forceful, passionate, or intense."
zeal,Great energy or enthusiasm in pursuit of a cause or an objective.
zealous,Having or showing zeal.
zealot,"A person who is fanatical and uncompromising in pursuit of their religious, political, or other ideals."
ferment,(of a substance) undergo fermentation.
foment,Instigate or stir up (an undesirable or violent sentiment or course of action)
agitate,Make (someone) troubled or nervous.
instigate,Bring about or initiate (an action or event)
impassion,Make passionate.
kindle,Set (something) on fire.
inflame,"Provoke or intensify (strong feelings, especially anger) in someone."
extremist,"A person who holds extreme political or religious views, especially one who advocates illegal, violent, or other extreme action."
fiery,Consisting of fire or burning strongly and brightly.
frenzied,Wildly excited or uncontrolled.
arduous,Involving or requiring strenuous effort; difficult and tiring.
mordant,(especially of humour) having or showing a sharp or critical quality; biting.
civil,"Relating to ordinary citizens and their concerns, as distinct from military or ecclesiastical matters."
gallant,(of a person or their behaviour) brave; heroic.
genteel,"Characterized by exaggerated or affected politeness, refinement, or respectability."
obliging,Willing to do a service or kindness; helpful.
punctilious,Showing great attention to detail or correct behaviour.
solicitous,Characterized by or showing interest or concern.
tactful,Having or showing skill and sensitivity in dealing with others or with difficult issues.
affable,"Friendly, good-natured, or easy to talk to."
amenable,Open and responsive to suggestion; easily persuaded or controlled.
communicative,"Willing, eager, or able to talk or impart information."
congenial,(of a person) pleasing or liked on account of having qualities or interests that are similar to one's own.
cordial,Warm and friendly.
gregarious,(of a person) fond of company; sociable.
benign,Gentle and kind.
innocuous,Not harmful or offensive.
unoffending,Not causing offence; harmless.
unobjectionable,Not objectionable; acceptable.
ablution,An act of washing oneself.
immaculate,"Perfectly clean, neat, or tidy."
pristine,In its original condition; unspoilt.
unsullied,Not spoiled or made impure.
virginal,"Being, relating to, or appropriate for a virgin."
assiduous,Showing great care and perseverance.
conscientious,Wishing to do one's work or duty well and thoroughly.
meticulous,Showing great attention to detail; very careful and precise.
precise,Marked by exactness and accuracy of expression or detail.
scrupulous,"(of a person or process) careful, thorough, and extremely attentive to details."
composed,Having one's feelings and expression under control; calm.
dispassionate,"Not influenced by strong emotion, and so able to be rational and impartial."
impassive,Not feeling or showing emotion.
imperturbable,Unable to be upset or excited; calm.
serene,"Calm, peaceful, and untroubled; tranquil."
stoical,Enduring pain and hardship without showing one's feelings or complaining.
artless,Without guile or deception.
guileless,Devoid of guile; innocent and without deception.
ingenuous,(of a person or action) innocent and unsuspecting.
naÃ¯ve,ABSENT
unaffected,Feeling or showing no effects or changes.
pragmatic,Dealing with things sensibly and realistically in a way that is based on practical rather than theoretical considerations.
rational,Based on or in accordance with reason or logic.
realistic,Having or showing a sensible and practical idea of what can be achieved or expected.
asocial,Avoiding social interaction; inconsiderate of or hostile to others.
crass,Showing no intelligence or sensitivity.
earthy,Resembling or suggestive of earth or soil.
effrontery,Insolent or impertinent behaviour.
obstreperous,Noisy and difficult to control.
philistine,A person who is hostile or indifferent to culture and the arts.
scabrous,"Rough and covered with, or as if with, scabs."
ungracious,Not polite or friendly.
unpolished,Not having a polished surface.
vulgar,Lacking sophistication or good taste.
credulous,Having or showing too great a readiness to believe things.
exploitable,ABSENT
susceptible,Likely or liable to be influenced or harmed by a particular thing.
adverse,Preventing success or development; harmful; unfavourable.
antagonistic,Showing or feeling active opposition or hostility towards someone or something.
dissident,"A person who opposes official policy, especially that of an authoritarian state."
recalcitrant,Having an obstinately uncooperative attitude towards authority or discipline.
aloof,Not friendly or forthcoming; cool and distant.
introverted,"Of, denoting, or typical of an introvert."
standoffish,Distant and cold in manner; unfriendly.
undemonstrative,"(of a person) not tending to express feelings, especially of affection, openly."
iconoclastic,Criticizing or attacking cherished beliefs or institutions.
maverick,An unorthodox or independent-minded person.
subversive,Seeking or intended to subvert an established system or institution.
dabbler,ABSENT
dilettante,"A person who cultivates an area of interest, such as the arts, without real commitment or knowledge."
superficial,Existing or occurring at or on the surface.
tyro,A beginner or novice.
byzantine,"Relating to Byzantium (now Istanbul), the Byzantine Empire, or the Eastern Orthodox Church."
convoluted,"(especially of an argument, story, or sentence) extremely complex and difficult to follow."
elaborate,Involving many carefully arranged parts or details; detailed and complicated in design and planning.
knotty,Full of knots.
labyrinthine,(of a network) like a labyrinth; irregular and twisting.
perplexing,Completely baffling; very puzzling.
tangled,Twisted together untidily; matted.
apathetic,"Showing or feeling no interest, enthusiasm, or concern."
indifferent,Having no particular interest or sympathy; unconcerned.
phlegmatic,(of a person) having an unemotional and stolidly calm disposition.
stolid,"Calm, dependable, and showing little emotion or animation."
contumacious,(especially of a defendant's behaviour) stubbornly or wilfully disobedient to authority.
dogmatic,Inclined to lay down principles as undeniably true.
hidebound,Unwilling or unable to change because of tradition or convention.
inflexible,Unwilling to change or compromise.
intransigent,Unwilling or refusing to change one's views or to agree about something.
implacable,Unable to be appeased or placated.
inexorable,Impossible to stop or prevent.
irreconcilable,(of ideas or statements) so different from each other that they cannot be made compatible.
mulish,Resembling or likened to a mule in being stubborn.
obdurate,Stubbornly refusing to change one's opinion or course of action.
obstinate,"Stubbornly refusing to change one's opinion or chosen course of action, despite attempts to persuade one to do so."
ossified,Turn into bone or bony tissue.
pertinacious,Holding firmly to an opinion or a course of action.
refractory,Stubborn or unmanageable.
remorseless,Without regret or guilt.
tenacious,Tending to keep a firm hold of something; clinging or adhering closely.
unrelenting,"Not yielding in strength, severity, or determination."
unswayable,ABSENT
unyielding,(of a mass or structure) not giving way to pressure; hard or solid.
bluster,"Talk in a loud, aggressive, or indignant way with little effect."
discomposed,Disturb or agitate (someone)
disquieted,A feeling of worry or unease.
flurried,"Agitated, nervous, or anxious."
fluster,Make (someone) agitated or confused.
frenetic,Fast and energetic in a rather wild and uncontrolled way.
fulminate,Express vehement protest.
furor,An outbreak of public anger or excitement.
insurgent,A person fighting against a government or invading force; a rebel or revolutionary.
kinetic,Relating to or resulting from motion.
perturb,Make (someone) anxious or unsettled.
roil,Make (a liquid) turbid or muddy by disturbing the sediment.
ruffled,"Disorder or disarrange (someone's hair), typically by running one's hands through it."
tumultuous,"Making an uproar or loud, confused noise."
turbid,"(of a liquid) cloudy, opaque, or thick with suspended matter."
turbulent,"Characterized by conflict, disorder, or confusion; not stable or calm."
vehemence,Great forcefulness or intensity of feeling or expression.
verve,Vigour and spirit or enthusiasm.
amorphous,Without a clearly defined shape or form.
inchoate,Just begun and so not fully formed or developed; rudimentary.
incoherent,(of spoken or written language) expressed in an incomprehensible or confusing way; unclear.
chaos,Complete disorder and confusion.
clutter,Cover or fill (something) with an untidy collection of things.
disarray,A state of disorganization or untidiness.
muddle,Bring into a disordered or confusing state.
turmoil,"A state of great disturbance, confusion, or uncertainty."
determinate,Having exact and discernible limits or form.
entrenched,"(of an attitude, habit, or belief) firmly established and difficult or unlikely to change; ingrained."
fixity,The state of being unchanging or permanent.
immutable,Unchanging over time or unable to be changed.
inert,Lacking the ability or strength to move.
ingrained,"(of a habit, belief, or attitude) firmly fixed or established; difficult to change."
invariable,Never changing.
inviolate,Free or safe from injury or violation.
lodged,(of a crop) flattened by wind or rain.
rooted,"The part of a plant which attaches it to the ground or to a support, typically underground, conveying water and nourishment to the rest of the plant via numerous branches and fibres."
steadfast,Resolutely or dutifully firm and unwavering.
unfailing,Without error or fault.
catalyst,A substance that increases the rate of a chemical reaction without itself undergoing any permanent chemical change.
commutation,The action or process of commuting a judicial sentence.
innovative,"(of a product, idea, etc.) featuring new methods; advanced and original."
metamorphosis,(in an insect or amphibian) the process of transformation from an immature form to an adult form in two or more distinct stages.
mutable,Liable to change.
