word,similarword,count
Erudite,knowledgeable,1
Esoteric,arcane,1
Pristine,natural,1
Tacit,indirect,1
suffocate,asphyxiate,1
soggy,mushy,1
viscous,syrupy,1
immaculate,exquisite,1
coy,evasive,1
impassive,placid,1
chaste,subdued,1
superfluous,excessive,1
taut,tense,1
raffish,jaunty,1
ostensible,plausible,1
Exemplary,typical,1
Lukewarm,warm,1
Inadvertent,careless,1
Extraneous,incidental,1
Unwitting,uninformed,1
Antagonistic,combative,1
Prodigious,fantastic,1
Fitful,desultory,1
Smorgasbord,buffet,1
Intermittent,infrequent,1
Strident,loud,1
Vociferous,strident,1
Weighty,ponderous,1
Susceptible,affected,1
Wispy,nebulous,1
Jubilant,exuberant,1
Sinecure,pushover,1
Faddish,attractive,1
Sinewy,sturdy,1
Frieze,decoration,1
Cataclysmic,ruinous,1
Convoluted,confused,1
Plastic,bending,1
introspection,egoism,1
curriculum,schedule,1
surcharge,cost,1
chortle,guffaw,1
apprise,enlighten,1
poncho,wrap,1
endearing,winning,1
inferno,Hades,1
penitent,repentant,1
incursion,irruption,1
brummagem,tinsel,1
fustian,ranting,1
Remuneration,compensation,1
Restorative,corrective,1
Hieroglyphics,hand,1
Titter,cackle,1
Alchemy,sorcery,1
Caldron,boiler,1
Palliative,relaxing,1
Antiquated,aged,1
Inebriation,intoxication,1
Vagrant,itinerant,1
Clairvoyant,visionary,1
Mercenary,grasping,1
Innovate,induct,1
Galleon,bark,1
Subversive,underground,1
Neologism,slang,1
Gullibility,artlessness,1
Emollient,demulcent,1
Papyrus,rag,1
Arbitrator,maven,1
Gavel,hammer,1
Decimated,execute,1
Purist,idealist,1
Manipulative,guarded,1
Aesthetic,creative,1
Estimable,esteemed,1
Luminous,brilliant,1
premature,incomplete,1
reminiscent,evocative,1
buoyant,resilient,1
precursory,inaugural,1
feral,ferocious,1
sodden,soaked,1
tangential,unrelated,1
picaresque,disjointed,1
Creditable,admirable,1
Tentative,unsettled,1
Defunct,obsolete,1
Lofty,towering,1
Prescient,farsighted,1
Inconsequential,insignificant,1
Apocryphal,fictitious,1
Peerless,unrivaled,1
Glacial,frosty,1
Redundant,superfluous,1
Corpulent,burly,1
Tendentious,prejudicial,1
Torrid,blazing,1
Pedantic,abstruse,1
Rekindle,renew,1
Ingenuous,artless,1
somersault,gymnastics,1
acclaimed,cheered,1
rejuvenation,stimulation,1
scribble,doodle,1
commuter,straphanger,1
inclined,disposed,1
retrograde,declining,1
earthenware,pottery,1
punitive,punitory,1
propagation,generation,1
ineptitude,clumsiness,1
soot,ashes,1
floe,berg,1
bask,sun,1
matriculation,acceptance,1
susceptibility,awareness,1
ale,beer,1
commodious,convenient,1
recast,copied,1
engrossing,consuming,1
stingy,ungenerous,1
dynamo,achiever,1
corporeal,material,1
interim,acting,1
Palpable,tangible,1
endemic,local,1
Hamper,bassinet,1
Hangar,barracks,1
Plaintiff,suer,1
Tangible,palpable,1
Tenacious,retentive,1
Legend,narrative,1
Bureaucracy,directorate,1
Hypochondriac,valetudinarian,1
Legion,myriad,1
Potable,edible,1
Preamble,prelude,1
Lobbyist,powerbroker,1
Immutable,changeless,1
Longevity,lastingness,1
Truant,AWOL,1
Cartographer,measurer,1
Palatable,toothsome,1
Unequivocal,univocal,1
Parched,burned,1
Chronicler,annalist,1
Marsupial,bandicoot,1
Utilitarian,pragmatic,1
Meager,scrimpy,1
Prosody,metrics,1
Ingrate,bounder,1
Ascetic,abstinent,1
Insentient,insensate,1
Vertigo,disequilibrium,1
Collage,photomontage,1
Atheist,heathen,1
Bard,balladeer,1
Condoning,tolerating,1
Egalitarianism,commonwealth,1
Benign,benignant,1
Nostalgia,homesickness,1
Gustatory,sensational,1
Corrugated,channelled,1
Hallowed,anointed,1
Tactile,tactual,1
Damp,drenched,1
Sidereal,stellar,1
Artless,ingenuous,1
Don,enrobe,1
Coterie,circle,1
Empirical,empiric,1
Rent,hire,1
Fusillade,hail,1
Phenomenology,intentionality,1
Prescience,prediction,1
Conscript,inductee,1
Personification,role,1
Bombastic,grandiose,1
Stolid,impassive,1
perfunctorily,partially,1
Sacrosanct,revered,1
Callow,inexperienced,1
Annex,addendum,1
Inconspicuous,unobtrusive,1
Inductee,draftee,1
Protean,multifaceted,1
Inviolable,sacrosanct,1
Navigable,passable,1
Gratuitous,spontaneous,1
Suffragist,citizen,1
Benevolent,benign,1
Jingoistic,loyal,1
Surreptitiously,covertly,1
Intelligible,comprehensible,1
Indigent,destitute,1
Paranoia,insanity,1
